Presidential,NA,Plurality,No local elections,South Asia,Low income,IDA,HIPC
Presidential,Left,PR,Legislature locally elected,Sub-Saharan Africa,Lower middle income,IBRD,NA
Parliamentary,Right,Plurality,Legislature locally elected,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,NA,No local elections,Middle East & North Africa,High income,NA,NA
Presidential,Left,PR,Legislature and executive locally elected,Latin America & Caribbean,Upper middle income,IBRD,NA
Parliamentary,Center,PR,No local elections,Europe & Central Asia,Upper middle income,IBRD,NA
Parliamentary,Right,Plurality,Legislature and executive locally elected,East Asia & Pacific,High income,NA,NA
Parliamentary,Right,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,EMU
Presidential,NA,Plurality,No local elections,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,PR,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,NA,PR,Legislature locally elected,Europe & Central Asia,High income,NA,EMU
Presidential,NA,PR,Legislature and executive locally elected,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Presidential,Center,PR,NA,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,NA,Plurality,No local elections,South Asia,Lower middle income,IDA,NA
Parliamentary,Right,PR,Legislature and executive locally elected,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,Plurality,No local elections,Middle East & North Africa,High income,NA,NA
Parliamentary,Right,Plurality,No local elections,Latin America & Caribbean,High income,NA,NA
Parliamentary,NA,PR,NA,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,Plurality,NA,Europe & Central Asia,Upper middle income,IBRD,NA
Parliamentary,Right,Plurality,No local elections,Latin America & Caribbean,Upper middle income,IBRD,NA
Presidential,Left,Plurality,No local elections,Latin America & Caribbean,Lower middle income,IBRD,HIPC
Presidential,Right,PR,Legislature and executive locally elected,Latin America & Caribbean,Upper middle income,IBRD,NA
Parliamentary,Left,Plurality,No local elections,Latin America & Caribbean,High income,NA,NA
Presidential,NA,NA,No local elections,East Asia & Pacific,High income,NA,NA
Presidential,NA,Plurality,No local elections,South Asia,Lower middle income,IDA,NA
Parliamentary,Right,Plurality,NA,Sub-Saharan Africa,Upper middle income,IBRD,NA
Presidential,NA,Plurality,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,Left,Plurality,Legislature and executive locally elected,North America,High income,NA,NA
Parliamentary,NA,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,NA
Presidential,NA,Plurality,No local elections,Latin America & Caribbean,High income,IBRD,NA
Assembly-Elected President,Left,NA,Legislature and executive locally elected,East Asia & Pacific,Upper middle income,IBRD,NA
Presidential,NA,Plurality,Legislature locally elected,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Presidential,NA,Plurality,No local elections,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Presidential,Left,Plurality,Legislature locally elected,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Presidential,Right,PR,Legislature locally elected,Latin America & Caribbean,Upper middle income,IBRD,NA
Presidential,NA,Plurality,Legislature locally elected,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Presidential,Center,PR,NA,Sub-Saharan Africa,Lower middle income,Blend,NA
Presidential,Left,PR,No local elections,Latin America & Caribbean,Upper middle income,IBRD,NA
Assembly-Elected President,Left,PR,No local elections,Latin America & Caribbean,Upper middle income,NA,NA
Presidential,Right,PR,NA,Europe & Central Asia,High income,NA,EMU
Parliamentary,NA,PR,Legislature locally elected,Europe & Central Asia,High income,NA,NA
NA,NA,NA,Legislature and executive locally elected,NA,NA,NA,NA
Parliamentary,Left,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,EMU
Presidential,NA,Plurality,NA,Middle East & North Africa,Lower middle income,IDA,NA
Parliamentary,Left,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,NA
Presidential,Center,PR,No local elections,Latin America & Caribbean,Upper middle income,IBRD,NA
Presidential,Left,PR,Legislature locally elected,Middle East & North Africa,Lower middle income,IBRD,NA
Presidential,Left,Plurality,No local elections,Latin America & Caribbean,Upper middle income,IBRD,NA
Presidential,NA,Plurality,Legislature locally elected,Middle East & North Africa,Lower middle income,IBRD,NA
Assembly-Elected President,NA,NA,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,Left,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,EMU
Assembly-Elected President,NA,PR,NA,Europe & Central Asia,High income,NA,EMU
Parliamentary,NA,Plurality,Legislature locally elected,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,Left,PR,Legislature locally elected,Europe & Central Asia,High income,NA,EMU
Parliamentary,NA,NA,NA,East Asia & Pacific,Upper middle income,Blend,NA
Parliamentary,Center,Plurality,Legislature locally elected,Europe & Central Asia,High income,NA,EMU
Presidential,NA,Plurality,No local elections,Sub-Saharan Africa,Upper middle income,IBRD,NA
Parliamentary,Right,Plurality,Legislature and executive locally elected,Europe & Central Asia,High income,NA,NA
Presidential,NA,PR,NA,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,Right,Plurality,Legislature locally elected,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Presidential,NA,NA,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,NA,Plurality,NA,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,Left,PR,NA,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,NA,PR,NA,Sub-Saharan Africa,Upper middle income,IBRD,NA
Parliamentary,Right,PR,Legislature locally elected,Europe & Central Asia,High income,NA,EMU
Parliamentary,Right,Plurality,NA,Latin America & Caribbean,Upper middle income,Blend,NA
Presidential,Right,Plurality,No local elections,Latin America & Caribbean,Upper middle income,IBRD,NA
Assembly-Elected President,Left,PR,No local elections,Latin America & Caribbean,Upper middle income,IDA,HIPC
Presidential,Right,PR,NA,Latin America & Caribbean,Lower middle income,IDA,HIPC
Parliamentary,Right,PR,Legislature locally elected,Europe & Central Asia,High income,IBRD,NA
Presidential,Center,Plurality,NA,Latin America & Caribbean,Lower middle income,IDA,HIPC
Parliamentary,Right,PR,No local elections,Europe & Central Asia,High income,NA,NA
Presidential,NA,PR,Legislature and executive locally elected,East Asia & Pacific,Lower middle income,IBRD,NA
Parliamentary,Right,Plurality,Legislature locally elected,South Asia,Lower middle income,IBRD,NA
Parliamentary,Right,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,EMU
Presidential,NA,Plurality,Legislature locally elected,Middle East & North Africa,Lower middle income,IBRD,NA
Parliamentary,NA,PR,NA,Middle East & North Africa,Upper middle income,IBRD,NA
Parliamentary,Left,PR,Legislature locally elected,Europe & Central Asia,High income,NA,NA
Parliamentary,Right,PR,Legislature locally elected,Middle East & North Africa,High income,NA,NA
Parliamentary,NA,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,EMU
Parliamentary,Right,Plurality,NA,Latin America & Caribbean,Upper middle income,IBRD,NA
Presidential,NA,NA,No local elections,Middle East & North Africa,Upper middle income,IBRD,NA
Parliamentary,NA,Plurality,Legislature and executive locally elected,East Asia & Pacific,High income,NA,NA
Presidential,Right,PR,NA,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,Right,Plurality,NA,Sub-Saharan Africa,Lower middle income,Blend,NA
Presidential,NA,PR,NA,Europe & Central Asia,Lower middle income,IDA,NA
Parliamentary,Left,PR,Legislature locally elected,East Asia & Pacific,Lower middle income,IDA,NA
Presidential,NA,Plurality,Legislature locally elected,East Asia & Pacific,High income,NA,NA
Presidential,NA,Plurality,No local elections,Middle East & North Africa,High income,NA,NA
Assembly-Elected President,Left,Plurality,Legislature locally elected,East Asia & Pacific,Lower middle income,IDA,NA
Assembly-Elected President,Center,Plurality,No local elections,Middle East & North Africa,Lower middle income,IBRD,NA
Presidential,NA,Plurality,NA,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,NA,NA,Legislature and executive locally elected,Middle East & North Africa,Upper middle income,IBRD,NA
Parliamentary,Right,Plurality,Legislature and executive locally elected,Latin America & Caribbean,Upper middle income,Blend,NA
Presidential,NA,PR,Legislature and executive locally elected,South Asia,Lower middle income,IDA,NA
Parliamentary,NA,Plurality,No local elections,Sub-Saharan Africa,Lower middle income,IDA,NA
Presidential,NA,Plurality,NA,Europe & Central Asia,High income,NA,EMU
Parliamentary,Center,PR,No local elections,Europe & Central Asia,High income,NA,EMU
Parliamentary,NA,PR,NA,Europe & Central Asia,High income,NA,EMU
Presidential,NA,PR,No local elections,Middle East & North Africa,Lower middle income,IBRD,NA
Presidential,NA,PR,NA,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,Plurality,Legislature and executive locally elected,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,Right,Plurality,No local elections,South Asia,Upper middle income,IDA,NA
Presidential,Left,Plurality,Legislature and executive locally elected,Latin America & Caribbean,Upper middle income,IBRD,NA
Parliamentary,Left,PR,No local elections,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,Plurality,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,Left,PR,No local elections,Middle East & North Africa,High income,NA,EMU
Presidential,NA,NA,NA,East Asia & Pacific,Lower middle income,IDA,NA
Presidential,NA,PR,Legislature locally elected,East Asia & Pacific,Lower middle income,IBRD,NA
Presidential,Left,PR,Legislature locally elected,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,NA,Plurality,NA,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Parliamentary,NA,Plurality,NA,Sub-Saharan Africa,Upper middle income,IBRD,NA
Presidential,Right,Plurality,NA,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,NA,Plurality,Legislature locally elected,East Asia & Pacific,Upper middle income,IBRD,NA
Presidential,Left,PR,NA,Sub-Saharan Africa,Upper middle income,IBRD,NA
Presidential,NA,PR,NA,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,Left,Plurality,Legislature and executive locally elected,Sub-Saharan Africa,Lower middle income,Blend,NA
Presidential,Left,PR,No local elections,Latin America & Caribbean,Lower middle income,IDA,HIPC
Parliamentary,Right,PR,Legislature locally elected,Europe & Central Asia,High income,NA,EMU
Parliamentary,Right,PR,Legislature locally elected,Europe & Central Asia,High income,NA,NA
Parliamentary,NA,PR,No local elections,South Asia,Lower middle income,IDA,NA
Parliamentary,Left,Plurality,Legislature and executive locally elected,East Asia & Pacific,High income,NA,NA
Presidential,NA,PR,No local elections,Middle East & North Africa,High income,NA,NA
Assembly-Elected President,Center,Plurality,Legislature locally elected,South Asia,Lower middle income,Blend,NA
Presidential,NA,NA,Legislature locally elected,Latin America & Caribbean,High income,IBRD,NA
Presidential,Center,PR,No local elections,Latin America & Caribbean,Upper middle income,IBRD,NA
Presidential,Left,Plurality,Legislature and executive locally elected,East Asia & Pacific,Lower middle income,IBRD,NA
Parliamentary,Center,Plurality,No local elections,East Asia & Pacific,Lower middle income,Blend,NA
Presidential,Right,PR,Legislature locally elected,Europe & Central Asia,High income,IBRD,NA
Assembly-Elected President,Left,NA,Legislature and executive locally elected,East Asia & Pacific,Low income,NA,NA
Assembly-Elected President,Right,PR,No local elections,Europe & Central Asia,High income,NA,EMU
Presidential,Right,PR,NA,Latin America & Caribbean,Upper middle income,IBRD,NA
Presidential,NA,NA,No local elections,Middle East & North Africa,High income,NA,NA
Presidential,NA,Plurality,Legislature locally elected,NA,NA,NA,NA
Presidential,Center,PR,NA,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,PR,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,NA,NA,No local elections,Middle East & North Africa,High income,NA,NA
Presidential,NA,NA,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,NA,Plurality,Legislature locally elected,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Parliamentary,NA,Plurality,No local elections,East Asia & Pacific,High income,NA,NA
Parliamentary,NA,Plurality,Legislature and executive locally elected,East Asia & Pacific,Lower middle income,IDA,NA
Presidential,NA,Plurality,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,Right,PR,NA,Latin America & Caribbean,Lower middle income,IBRD,NA
Presidential,NA,NA,NA,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,NA,Plurality,NA,Sub-Saharan Africa,Low income,IDA,NA
Presidential,NA,Plurality,No local elections,NA,NA,NA,NA
Parliamentary,NA,PR,NA,Latin America & Caribbean,Upper middle income,IBRD,NA
Parliamentary,Left,PR,NA,Europe & Central Asia,High income,NA,EMU
Parliamentary,Center,PR,NA,Europe & Central Asia,High income,NA,EMU
Parliamentary,Left,PR,Legislature locally elected,Europe & Central Asia,High income,NA,NA
NA,NA,NA,No local elections,Sub-Saharan Africa,Lower middle income,IBRD,NA
Presidential,NA,Plurality,Legislature locally elected,Middle East & North Africa,Low income,IDA,NA
Presidential,NA,PR,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Assembly-Elected President,NA,PR,Legislature and executive locally elected,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,NA,Plurality,No local elections,East Asia & Pacific,Upper middle income,IBRD,NA
Presidential,Left,Plurality,Legislature locally elected,Europe & Central Asia,Lower middle income,IDA,NA
Presidential,Left,Plurality,NA,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,PR,No local elections,NA,NA,NA,NA
Parliamentary,Right,Plurality,NA,Latin America & Caribbean,High income,IBRD,NA
Presidential,NA,Plurality,Legislature locally elected,Middle East & North Africa,Lower middle income,IBRD,NA
Assembly-Elected President,NA,PR,No local elections,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,Right,Plurality,NA,East Asia & Pacific,High income,NA,NA
Presidential,Left,Plurality,No local elections,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Presidential,NA,Plurality,NA,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,Center,PR,NA,Europe & Central Asia,Lower middle income,IBRD,NA
Presidential,Right,PR,No local elections,Latin America & Caribbean,High income,IBRD,NA
Presidential,Right,Plurality,Legislature and executive locally elected,North America,High income,NA,NA
Presidential,NA,Plurality,NA,Europe & Central Asia,Lower middle income,Blend,NA
Presidential,NA,PR,Legislature locally elected,Latin America & Caribbean,NA,IBRD,NA
Assembly-Elected President,Left,Plurality,No local elections,East Asia & Pacific,Lower middle income,IBRD,NA
Parliamentary,NA,Plurality,NA,East Asia & Pacific,Lower middle income,IDA,NA
Parliamentary,Center,Plurality,NA,East Asia & Pacific,Lower middle income,IDA,NA
NA,NA,NA,No local elections,Middle East & North Africa,Low income,IDA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Legislature and executive locally elected,NA,NA,NA,NA
Assembly-Elected President,Left,PR,Legislature and executive locally elected,Sub-Saharan Africa,Upper middle income,IBRD,NA
Presidential,NA,PR,NA,NA,NA,NA,NA
Presidential,NA,Plurality,NA,Sub-Saharan Africa,Low income,IDA,HIPC
Presidential,NA,Plurality,No local elections,Sub-Saharan Africa,Lower middle income,Blend,NA
